icao,iata,name,city,country,latitude,longitude,timezone
MMCM,CTM,Chetumal International Airport,,Mexico,18.50466,-88.326797,
CYCQ,YCQ,Chetwynd Airport,,Canada,55.687344,-121.625969,
PAVA,VAK,Chevak Airport,,United States,61.540901,-165.600494,
CYHR,YHR,Chevery Airport,,Canada,50.468933,-59.636696,
KCYS,CYS,Cheyenne Regional Airport,,United States,41.155628,-104.809998,
VTCC,CNX,Chiang Mai International Airport,,Thailand,18.76684,98.962639,
VTCT,CEI,Chiang Rai International Airport,,Thailand,19.952339,99.882919,
RCKU,CYI,Chiayi Airport,,Taiwan,23.461769,120.392799,
CYMT,YMT,Chibougamau Chapais Airport,,Canada,49.771938,-74.528,
KARR,AUZ,Chicago Aurora Municipal Airport,,United States,41.7719,-88.4757,
KDPA,DPA,Chicago DuPage Airport,,United States,41.90694,-88.248199,
KPWK,PWK,Chicago Executive Airport,,United States,42.114166,-87.901665,
KGYY,GYY,Chicago Gary International,,United States,41.610001,-87.410004,
KIGQ,QQI,Chicago Lansing Municipal Airport,,United States,41.535,-87.529442,
KMDW,MDW,Chicago Midway International Airport,,United States,41.785969,-87.752403,
KORD,ORD,Chicago O'Hare International Airport,,United States,41.978142,-87.9058,
KRFD,RFD,Chicago Rockford International Airport,,United States,42.195278,-89.097221,
KUGN,UGN,Chicago Waukegan National Airport,,United States,42.422161,-87.867897,
MMCT,CZA,Chichen Itza International Airport,,Mexico,20.6413,-88.446198,
EGHR,QUG,Chichester Goodwood Airport,,United Kingdom,50.859402,-0.759167,
SPHI,CIX,Chiclayo International Airport,,Peru,-6.78747,-79.828003,
KCIC,CIC,Chico Regional Airport,,United States,39.795578,-121.857681,
ZBCF,CIF,Chifeng Yulong Airport,,China,42.154861,118.834618,
PAJC,KCG,Chignik Airport,,United States,56.311272,-158.373413,
MMCU,CUU,Chihuahua International Airport,,Mexico,28.702869,-105.963997,
KCDS,CDS,Childress Municipal Airport,,United States,34.433781,-100.287003,
YCGO,LLG,Chillagoe Airport,,Australia,-17.13835,144.528671,
SCCH,YAI,Chillan General Bernardo O´Higgins Airport,,Chile,-36.5825,-72.031395,
CYCW,YCW,Chilliwack Airport,,Canada,49.152771,-121.938004,
FQCH,VPY,Chimoio Airport,,Mozambique,-19.133333,33.483334,
SLCH,CCA,Chimore Airport,,Bolivia,-16.98975,-65.141502,
YCCA,CCL,Chinchilla Airport,,Australia,-26.775,150.617004,
KCNO,CNO,Chino Airport,,United States,33.974701,-117.637001,
LGHI,JKH,Chios Island National Airport,,Greece,38.34317,26.14057,
CSU2,YKU,Chisasibi Airport,,Canada,53.805599,-78.916901,
LUKK,RMO,Chisinau International Airport,,Moldova,46.927738,28.930969,
UIAA,HTA,Chita Kadala Airport,,Russia,52.02631,113.305496,
VECT,CWK,Chitrakoot Airport,,India,25.166119,80.935059,
OPCH,CJL,Chitral Airport,,Pakistan,35.886112,71.794441,
MPCE,CTD,Chitre Alonso Valderrama Airport,,Panama,7.98784,-80.409698,
VGEG,CGP,Chittagong Shah Amanat International Airport,,Bangladesh,22.249611,91.813278,
ZSJH,JUH,Chizhou Jiuhuashan Airport,,China,30.740278,117.686668,
DAOI,CFK,Chlef International Airport,,Algeria,36.212223,1.331667,
AGGC,CHY,Choiseul Bay Airport,,Solomon Islands,-6.711709,156.396133,
UESO,CKH,Chokurdakh Airport,,Russia,70.6231,147.901993,
LFOU,CET,Cholet Le Pontreau Airport,,France,47.081902,-0.87721,
ZUCK,CKG,Chongqing Jiangbei International Airport,,China,29.71921,106.641602,
NZCH,CHC,Christchurch International Airport,,New Zealand,-43.489025,172.532166,
YCHK,CKW,Christmas Creek Mine Airport,,Australia,-22.355556,119.652222,
YPXM,XCH,Christmas Island Airport,,Australia,-10.450556,105.690277,
VVCA,VCL,Chu Lai International Airport,,Vietnam,15.4033,108.706001,
PACH,CHU,Chuathbaluk Airport,,United States,61.583435,-159.238815,
MYBC,CCZ,Chub Cay International Airport,,Bahamas,25.417101,-77.880798,
UELL,NER,Chulman Airport,,Russia,56.913334,124.911667,
VTSE,CJM,Chumphon Airport,,Thailand,10.71,99.360001,
FLCU,CGX,Chunga Airstrip,,Zambia,-15.054063,25.985626,
CYYQ,YYQ,Churchill Airport,,Canada,58.739159,-94.065002,
CZUM,ZUM,Churchill Falls Airport,,Canada,53.562778,-64.109169,
PTKK,TKK,Chuuk International Airport,,Micronesia,7.461893,151.843002,
SSCT,GGH,Cianorte Airport,,Brazil,-23.691668,-52.642223,
NFCI,ICI,Cicia Airport,,Fiji,-17.743319,-179.341949,
MUCF,CFG,Cienfuegos Jaime Gonzalez Airport,,Cuba,22.15,-80.414101,
WICN,CJN,Cijulang Nusawiru Airport,,Indonesia,-7.719957,108.488899,
SKCM,CIM,Cimitarra Airport,,Colombia,6.364761,-73.969215,
KLUK,LUK,Cincinnati Municipal Lunken Airport,,United States,39.103329,-84.418602,
KCVG,CVG,Cincinnati Northern Kentucky International Airport,,United States,39.048828,-84.667801,
PACR,IRC,Circle City Airport,,United States,65.82782,-144.076126,
EGAE,LDY,City of Derry Airport,,United Kingdom,55.04277,-7.16111,
MMCC,ACN,Ciudad Acuna International Airport,,Mexico,29.333611,-101.100349,
SVCB,CBL,Ciudad Bolivar Tomas de Heres Airport,,Venezuela,8.121898,-63.5373,
MMDA,CUA,Ciudad Constitucion Airport,,Mexico,25.053801,-111.614998,
MMCE,CME,Ciudad del Carmen International Airport,,Mexico,18.65373,-91.799004,
SGES,AGT,Ciudad del Este Guarani International Airport,,Paraguay,-25.455278,-54.843334,
MMCS,CJS,Ciudad Juarez International Airport,,Mexico,31.636129,-106.428001,
MMCN,CEN,Ciudad Obregon International Airport,,Mexico,27.39263,-109.833,
LERL,CQM,Ciudad Real Central Airport,,Spain,38.85638,-3.97,
MMCV,CVM,Ciudad Victoria International Airport,,Mexico,23.703329,-98.956398,
NZGB,GBZ,Claris Great Barrier Aerodrome,,New Zealand,-36.241402,175.472,
PFCL,CLP,Clarks Point Airport,,United States,58.833698,-158.529007,
KCKB,CKB,Clarksburg North Central West Virginia Airport,,United States,39.297382,-80.2276,
KCKM,CKM,Clarksdale Fletcher Field Airport,,United States,34.299702,-90.512299,
KCKV,CKV,Clarksville Montgomery County Regional Airport,,United States,36.621899,-87.415001,
KCEU,CEU,Clemson Oconee County Regional Airport,,United States,34.671902,-82.886497,
YCMT,CMQ,Clermont Airport,,Australia,-22.77405,147.619614,
LFLC,CFE,Clermont-Ferrand Auvergne Airport,,France,45.785831,3.1625,
YCEE,CVC,Cleve Airport,,Australia,-33.710308,136.504196,
KBKL,BKL,Cleveland Burke Lakefront Airport,,United States,41.516945,-81.683334,
KCGF,CGF,Cleveland Cuyahoga County Airport,,United States,41.565182,-81.488052,
KCLE,CLE,Cleveland Hopkins International Airport,,United States,41.410252,-81.853897,
KRNV,QTN,Cleveland Municipal Airport,,United States,33.761425,-90.757881,
KRZR,QNZ,Cleveland Regional Jetport Airport,,United States,35.214195,-84.797913,
YCFH,CFH,Clifton Hills Airport,,Australia,-27.01524,138.893326,
KCTZ,CTZ,Clinton Sampson County Airport,,United States,34.975056,-78.36544,
KCSM,CSM,Clinton Sherman Airport,,United States,35.344353,-99.20153,
YCCY,CNJ,Cloncurry Airport,,Australia,-20.668905,140.508514,
YFDF,KFE,Cloudbreak Fortescue Dave Forrest Airport,,Australia,-22.292,119.437225,
KCVS,CVS,Clovis Cannon Air Force Base,,United States,34.385155,-103.321701,
KCVN,CVN,Clovis Municipal Airport,,United States,34.427223,-103.078888,
LRCL,CLJ,Cluj-Napoca International Airport,,Romania,46.785091,23.68611,
CYCY,YCY,Clyde River Airport,,Canada,70.486107,-68.516602,
SWKO,CIZ,Coari Airport,,Brazil,-4.1341,-63.134789,
KMQS,CTH,Coatesville Chester County Area Airport,,United States,39.979,-75.865501,
MRAF,ACO,Cobano Airport,,Costa Rica,9.692932,-85.092377,
YCBA,CAZ,Cobar Airport,,Australia,-31.530001,145.789993,
SLCO,CIJ,Cobija Capitan Anibal Arab Airport,,Bolivia,-11.0404,-68.782898,
EDQC,QRQ,Coburg Brandensteinsebene Airport,,Germany,50.2626,10.995405,
SLCB,CBB,Cochabamba Jorge Wilstermann International Airport,,Bolivia,-17.421,-66.177101,
VOCI,COK,Cochin International Airport,,India,10.151124,76.401924,
CYCN,YCN,Cochrane Airport,,Canada,49.106228,-81.013969,
KCOF,COF,Cocoa Beach Patrick Space Force Base,,United States,28.234051,-80.609673,
YCCT,CNC,Coconut Island Airport,,Australia,-10.05,143.070007,
YPCC,CCK,Cocos Islands Airport,,Cocos (Keeling) Islands,-12.188611,96.830559,
KCOD,COD,Cody Yellowstone Regional Airport,,United States,44.52,-109.019997,
YCOE,CUQ,Coen Airport,,Australia,-13.763889,143.113327,
